"filename", "language", "JavaScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\Evan\Desktop\SDM\project\src\App.css", "CSS", 0, 110, 0, 23, 27, 160
"c:\Users\Evan\Desktop\SDM\project\src\App.js", "JavaScript", 225, 0, 0, 16, 18, 259
"c:\Users\Evan\Desktop\SDM\project\src\Components\AnimateButton copy.js", "JavaScript", 129, 0, 0, 0, 10, 139
"c:\Users\Evan\Desktop\SDM\project\src\Components\AnimateButton.js", "JavaScript", 131, 0, 0, 1, 10, 142
"c:\Users\Evan\Desktop\SDM\project\src\Components\AnimateCart.js", "JavaScript", 114, 0, 0, 31, 19, 164
"c:\Users\Evan\Desktop\SDM\project\src\Components\BottomNav.js", "JavaScript", 98, 0, 0, 2, 6, 106
"c:\Users\Evan\Desktop\SDM\project\src\Components\Dish.js", "JavaScript", 198, 0, 0, 12, 8, 218
"c:\Users\Evan\Desktop\SDM\project\src\Components\DishComment.js", "JavaScript", 330, 0, 0, 10, 30, 370
"c:\Users\Evan\Desktop\SDM\project\src\Components\GoodInCart.js", "JavaScript", 41, 0, 0, 4, 4, 49
"c:\Users\Evan\Desktop\SDM\project\src\Components\HistoryOrder.js", "JavaScript", 109, 0, 0, 6, 13, 128
"c:\Users\Evan\Desktop\SDM\project\src\Components\Intl.js", "JavaScript", 77, 0, 0, 0, 6, 83
"c:\Users\Evan\Desktop\SDM\project\src\Components\Loading.js", "JavaScript", 10, 0, 0, 0, 2, 12
"c:\Users\Evan\Desktop\SDM\project\src\Components\Login.js", "JavaScript", 47, 0, 0, 21, 8, 76
"c:\Users\Evan\Desktop\SDM\project\src\Components\Logout.js", "JavaScript", 35, 0, 0, 1, 9, 45
"c:\Users\Evan\Desktop\SDM\project\src\Components\NumberSelector.js", "JavaScript", 65, 0, 0, 1, 3, 69
"c:\Users\Evan\Desktop\SDM\project\src\Components\RequireAuth.js", "JavaScript", 9, 0, 0, 0, 3, 12
"c:\Users\Evan\Desktop\SDM\project\src\Components\Restaurant.js", "JavaScript", 54, 0, 0, 0, 5, 59
"c:\Users\Evan\Desktop\SDM\project\src\Components\Tab.js", "JavaScript", 47, 0, 0, 5, 5, 57
"c:\Users\Evan\Desktop\SDM\project\src\Components\TabForOrder.js", "JavaScript", 47, 0, 0, 0, 4, 51
"c:\Users\Evan\Desktop\SDM\project\src\Components\order.js", "JavaScript", 123, 0, 0, 3, 15, 141
"c:\Users\Evan\Desktop\SDM\project\src\Containers\Home.js", "JavaScript", 173, 0, 0, 26, 10, 209
"c:\Users\Evan\Desktop\SDM\project\src\Containers\Loginpage.js", "JavaScript", 25, 0, 0, 0, 2, 27
"c:\Users\Evan\Desktop\SDM\project\src\Containers\Menu.js", "JavaScript", 104, 0, 0, 11, 9, 124
"c:\Users\Evan\Desktop\SDM\project\src\Containers\OrdersPage.js", "JavaScript", 41, 0, 0, 1, 2, 44
"c:\Users\Evan\Desktop\SDM\project\src\Containers\ShoppingCartPage.js", "JavaScript", 179, 0, 0, 0, 8, 187
"c:\Users\Evan\Desktop\SDM\project\src\Functions\Shuffle.js", "JavaScript", 7, 0, 0, 0, 1, 8
"c:\Users\Evan\Desktop\SDM\project\src\Functions\api.js", "JavaScript", 133, 0, 0, 25, 16, 174
"c:\Users\Evan\Desktop\SDM\project\src\Functions\refreshToken.js", "JavaScript", 10, 0, 0, 5, 4, 19
"c:\Users\Evan\Desktop\SDM\project\src\Mixpanel\mixpanel.js", "JavaScript", 4, 0, 0, 5, 3, 12
"c:\Users\Evan\Desktop\SDM\project\src\index.css", "CSS", 0, 12, 0, 0, 2, 14
"c:\Users\Evan\Desktop\SDM\project\src\index.js", "JavaScript", 12, 0, 0, 3, 3, 18
"c:\Users\Evan\Desktop\SDM\project\src\lang\en.json", "JSON", 0, 0, 44, 0, 0, 44
"c:\Users\Evan\Desktop\SDM\project\src\lang\zh.json", "JSON", 0, 0, 44, 0, 0, 44
"c:\Users\Evan\Desktop\SDM\project\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 2, 14
"Total", "-", 2589, 122, 88, 212, 267, 3278